Time,1Hash,AntPool,BTC.TOP,BTC.com,BTCC Pool,BW.COM,BitClub Network,BitFury,F2Pool,GBMiners,HaoBTC,SlushPool,Unknown,ViaBTC,others
2016-05-09 00:00:00 UTC,8.045160920666003e+15,3.942128851126342e+17,,,1.5956235825987574e+17,1.260408544237674e+17,3.888494444988569e+16,1.3140429503754474e+17,3.4594191958863814e+17,,,7.50881685928827e+16,1.340860153444334e+15,,1.0860967242899106e+17
2016-05-16 00:00:00 UTC,6.897836031401555e+15,3.3799396553867616e+17,,,1.7934373681644042e+17,1.5589109430967514e+17,2.2073075300484972e+16,1.4209542224687203e+17,3.821401161396461e+17,,,7.58761963454171e+16,9.656970443962176e+15,,1.0760624208986426e+17
2016-05-23 00:00:00 UTC,1.967458352512418e+16,2.9933473506081786e+17,,,1.9252985306728662e+17,1.616126503849486e+17,3.5133184866293176e+16,1.2647946551865544e+17,3.653851226094491e+17,,,7.167169712723809e+16,2.248523831442763e+16,,1.3772208467586926e+17
2016-05-30 00:00:00 UTC,7.070750652898474e+15,2.8565832637709837e+17,,,1.8383951697536032e+17,1.569706644943461e+17,2.8283002611593896e+16,1.2161691122985376e+17,4.0161863708463334e+17,,,5.798015535376748e+16,2.1212251958695424e+16,5.656600522318779e+15,1.2020276109927406e+17
2016-06-06 00:00:00 UTC,2.0997931759569436e+16,3.0796966580701843e+17,,,2.029800070091712e+17,1.5538469502081382e+17,4.8995174105662024e+16,1.3858634961315829e+17,3.9896070343181926e+17,,1.399862117304629e+15,6.999310586523146e+16,1.959806964226481e+16,1.259875905574166e+16,1.1338883150167494e+17
2016-06-13 00:00:00 UTC,2.227666433192371e+16,2.937735108772439e+17,,,1.796056061761349e+17,1.8517477225911584e+17,5.429936930906404e+16,1.3644456903303274e+17,3.592112123522698e+17,,4.733791170533789e+16,8.910665732769485e+16,2.5061247373414172e+16,5.569166082980928e+15,1.0302957253514717e+17
2016-06-20 00:00:00 UTC,1.3235428901743368e+16,2.5882616518964806e+17,,,1.8088419499049267e+17,2.3382591059746618e+17,5.735352524088792e+16,1.2941308259482403e+17,3.7647442209403354e+17,,4.2647493127839736e+16,5.8824128452192744e+16,2.3529651380877096e+16,1.4706032113048186e+16,1.0882463763655658e+17
2016-06-27 00:00:00 UTC,5.956829711566406e+15,3.306040489919355e+17,,,2.099782473327158e+17,2.2635952903952342e+17,6.4035919399338856e+16,1.3253946108235253e+17,3.2017959699669434e+17,,6.105750454355566e+16,6.999274911090526e+16,2.2338111418374024e+16,1.1913659423132812e+16,1.0722293480819531e+17
2016-07-04 00:00:00 UTC,1.055739732560176e+16,3.227547182398252e+17,,,1.94557750714661e+17,2.3829553963501117e+17,4.373778892035014e+16,1.25180568289278e+17,3.031481232065648e+17,,7.842638013304165e+16,6.786898280743989e+16,2.2622994269146628e+16,2.111479465120352e+16,1.1462317096367624e+17
2016-07-11 00:00:00 UTC,1.214822961038042e+16,2.945945680517252e+17,,,1.8374197285700387e+17,2.0651990337646714e+17,4.859291844152168e+16,1.2300082480510176e+17,3.249651420776762e+17,,7.744496376617517e+16,9.111172207785315e+16,1.6703815714273078e+16,3.188910272724861e+16,1.0325995168823357e+17
2016-07-18 00:00:00 UTC,4.551534567917911e+15,2.6247182674993286e+17,,,2.0026752098838806e+17,1.7144113539157466e+17,2.5792029218201496e+16,1.6688960082365674e+17,2.6702336131785078e+17,,5.765277119362687e+16,8.344480041182837e+16,1.9723316460977616e+16,7.434173127599254e+16,9.709940411558211e+16
2016-07-25 00:00:00 UTC,7.565988327672934e+15,2.5875680080641434e+17,,,2.1487406850591133e+17,1.815837198641504e+17,3.631674397283009e+16,1.2408220857383613e+17,2.769151727928294e+17,,9.07918599320752e+16,7.112029028012558e+16,1513197665534586.8,8.17126739388677e+16,8.322587160440229e+16
2016-08-01 00:00:00 UTC,1.7439103465730534e+16,2.8047891407383274e+17,,,2.3252137954307376e+17,1.9618991398946848e+17,5.958360350791265e+16,1.2352698288225794e+17,3.095440865167169e+17,,6.9756413862922136e+16,9.30085518172295e+16,4359775866432633.5,1.0754113803867162e+17,1.1771394839368109e+17
2016-08-08 00:00:00 UTC,2.293222447334427e+16,2.379218289109468e+17,,,1.934906439938423e+17,2.006569641417624e+17,5.5897297153776664e+16,1.2899376266256155e+17,2.966856541238916e+17,,7.022993744961684e+16,7.45297295383689e+16,,1.1466112236672138e+17,1.0606153818921726e+17
2016-08-15 00:00:00 UTC,2.1416136980234604e+16,2.3404778271256387e+17,,,2.325180586425471e+17,2.187505420123963e+17,6.577813501072056e+16,1.3308599409145787e+17,2.952367455132342e+17,,5.8129514660636776e+16,9.637261641105571e+16,1529724070016757.2,1.2390764967135733e+17,9.484289234103896e+16
2016-08-22 00:00:00 UTC,1.5442925446762464e+16,2.223781264333795e+17,,,1.8840369045050205e+17,2.06935200986617e+17,6.177170178704986e+16,1.2972057375280469e+17,3.165799716586305e+17,,7.258174959978358e+16,1.1118906321668974e+17,,1.4825208428891965e+17,9.420184522525102e+16
2016-08-29 00:00:00 UTC,1.2515310920063312e+16,2.503062184012662e+17,,,1.9711614699099715e+17,1.8929407766595757e+17,5.162565754526116e+16,1.4079724785071226e+17,2.925453927564799e+17,9.386483190047484e+15,8.604276257543526e+16,1.1420221214557773e+17,,1.81472008340918e+17,1.0950897055055398e+17
2016-09-05 00:00:00 UTC,2.0393265928548896e+16,2.6668116983487018e+17,,3.294296803842514e+16,2.0393265928548893e+17,1.8824553164814365e+17,5.64736594944431e+16,1.4118414873610774e+17,2.870744357634191e+17,2.980554251095608e+16,4.3923957384566856e+16,1.0667246793394806e+17,,1.4589028702731133e+17,9.72601913515409e+16
2016-09-12 00:00:00 UTC,3.0464683713539096e+16,2.5013108733221574e+17,,4.8102132179272264e+16,2.1645959480672515e+17,2.2126980802465235e+17,6.5739580645005416e+16,1.5873703619159846e+17,2.7418215342185187e+17,8.01702202987871e+15,7.696341148683562e+16,1.1544511723025342e+17,4.810213217927226e+15,1.5392682297367123e+17,1.1544511723025344e+17
2016-09-19 00:00:00 UTC,3.06260238499178e+16,2.450081907993424e+17,,3.3849815834119676e+16,2.1921785492572742e+17,2.1115837496522272e+17,5.964015170773467e+16,1.2572788738387307e+17,3.368862623490958e+17,4.190929579462436e+16,6.931152766034029e+16,1.1283271944706557e+17,4.835687976302811e+15,1.5474201524168995e+17,9.18780715497534e+16
