Time,50BTC.com,AntPool,BTC Guild,BTCC Pool,BW.COM,BitFury,BitMinter,Eligius,F2Pool,KnCMiner,SlushPool,Unknown,ViaBTC,ghash.io,others
2015-02-01 00:00:00 UTC,,4.756644838227357e+16,1.2866334398483834e+16,2.55767132285012e+16,2.651244663930002e+16,6.784067228291476e+15,1.715511253131178e+15,1.0137111950320596e+16,5.474040453173122e+16,1.8558712647510016e+16,1.0293067518787068e+16,5.770356033259417e+16,,2.620053550236708e+16,3.033335806672855e+16
2015-03-01 00:00:00 UTC,,5.706519089506438e+16,1.5001285321159594e+16,2.5554953386296996e+16,3.957625524426526e+16,8.066017735497872e+15,3015333732896400.5,9.196767885334022e+15,5.631135746184029e+16,1.9675052607149016e+16,1.2362868304875244e+16,4.8320723069664824e+16,,1.4548985261225132e+16,3.4374804555018972e+16
2015-04-01 00:00:00 UTC,,5.3850637371892744e+16,1.4584547621554284e+16,2.876842085790103e+16,3.886541536513092e+16,1.4584547621554284e+16,2484181188286718.5,7.372408687818649e+15,7.1961119583273336e+16,2.1556281924165396e+16,1.5065356883803326e+16,2.72458581941124e+16,,1.0577803769478932e+16,3.3977187865598996e+16
2015-05-01 00:00:00 UTC,,6.4710873770602776e+16,1.0579223993523366e+16,3.150601014129586e+16,3.737477673624313e+16,1.907349143357862e+16,2779942071290811.5,5.94598720803868e+15,7.312792059756661e+16,2.0154580016858384e+16,1.3822489743362644e+16,2.0849565534681084e+16,,8.339826213872433e+15,3.65253499922376e+16
2015-06-01 00:00:00 UTC,,6.8398491469125256e+16,8.236890354015084e+15,3.633922215006654e+16,3.0363438952055604e+16,4.255726682907793e+16,2261107156004140.5,7.833121219014344e+15,7.1790152203131464e+16,1.6150765400029576e+16,9.044428624016562e+15,1.7281318978031646e+16,,7.913875046014492e+15,3.5693191534065364e+16
2015-07-01 00:00:00 UTC,,7.402112340572347e+16,,4.067094692622169e+16,3.2943467010239564e+16,5.409235941187484e+16,3579043329507508.5,1.6349720664341118e+16,6.767645568523288e+16,1.6512404452046004e+16,1.2770677334833608e+16,1.6105694982783788e+16,,7.076744765162573e+15,3.099126155778093e+16
2015-08-01 00:00:00 UTC,,6.709185121794714e+16,,4.776463011836085e+16,3.0736241484364108e+16,6.198333462774812e+16,3065109954119412.5,1.7454098349846654e+16,7.764945217102512e+16,1.8220375838376508e+16,1.966778887226623e+16,9.876465407718106e+15,,6.130219908238825e+15,3.1587660916063948e+16
2015-09-01 00:00:00 UTC,,7.223361607660102e+16,,5.4748494724725384e+16,2.818639780766839e+16,6.3538828956269416e+16,3.439696003647668e+15,1.3663236903378236e+16,8.226606275390672e+16,3.315484759071502e+16,3.133945247767875e+16,4.968449783046631e+15,,4.872902671834196e+15,3.4588054258901544e+16
2015-10-01 00:00:00 UTC,,8.184544678473589e+16,,6.17018840157328e+16,2.649954131262058e+16,6.796007827406385e+16,3226881414451952.5,9.680644243355858e+15,8.849477818421264e+16,3.432228413553441e+16,3.119318700636887e+16,5.084782834893986e+15,,5.867057117185368e+15,3.00197755829318e+16
2015-11-01 00:00:00 UTC,,1.0836642982004088e+17,,6.405465082480149e+16,2.8956212016691084e+16,7.502291295233598e+16,3290478638260350.5,9.103657565853636e+15,1.1099881273064915e+17,3.0601451335821256e+16,3.147891230602402e+16,4277622229738455.5,,8.555244459476911e+15,3.5208121429385748e+16
